complaint;category
Respected Authority, garbage has not been collected from our street in Latehar for over a week. Please help us as soon as possible.;Waste Management
Hello, the footpath near Pathalgaon has been broken for a long time and it is difficult for elderly people to walk. Please repair this road before someone gets seriously hurt.;Infrastructure & Roads
Respected Sir/Madam, the computer lab in our school has been non functional for a long time. Hope for quick action from your side.;Education
Sir, the CCTV cameras installed near Karra market have not been working for months. We have been complaining about this for a long time now.;Safety & Public Welfare
As a resident of Godda I want to inform you that the health worker has not visited our village for vaccination in over 27 weeks. Waiting for your response.;Public Health
Sir ji, the coal transport trucks passing through Palamu spread black dust all over our houses. Kindly take necessary action.;Air & Environmental Pollution
Sir, the stone crushing unit near Dhanbad covers our entire area in dust every afternoon.;Air & Environmental Pollution
Sir ji, we have not received soil testing results even after applying 29 weeks ago. We are facing a lot of losses because of this, please help soon.;Agriculture & Rural Development
Our school in Karra our school does not have a library and students have no access to reference books. Hope for quick action from your side.;Education
I am a resident of Jamshedpur and the railway crossing near Rampur has no gate and it is very dangerous for pedestrians. Kindly send someone to check as soon as possible.;Safety & Public Welfare
Respected Sir/Madam, the road connecting Ranchi to the main highway has huge potholes and is very dangerous. Please look into this matter urgently.;Infrastructure & Roads
We the commuters of Chaibasa road want to inform you that there are open manholes on the Koderma road which is very risky at night. Please look into this matter urgently.;Infrastructure & Roads
I am a student studying in Bishnupur and there is no internet facility in our school which makes it hard to access online classes. Please send more teachers to our school soon.;Education
Respected Sir/Madam, there is no streetlight near the girls hostel in Tamar and it feels unsafe to walk at night. Kindly send someone to check as soon as possible.;Safety & Public Welfare
Every morning in Giridih plastic waste is being burnt openly near Latehar every evening. Please look into this matter urgently.;Waste Management
Hello, the primary health centre in Silli has no doctor available most days.;Public Health
Hello, the nearest hospital from Gumla is very far and there is no transport during emergencies. Hope for quick action from your side.;Public Health
To whom it may concern, the stone crushing unit near Nagla Basti covers our entire area in dust every afternoon. Hope for quick action from your side.;Air & Environmental Pollution
We the residents of Latehar colony want to inform you that the railway crossing near Latehar has no gate and it is very dangerous for pedestrians. We do not feel safe in our own neighbourhood anymore.;Safety & Public Welfare
Sir ji, our village still does not have a proper electricity connection even after being promised one. This is affecting our daily work a lot.;Energy & Sustainability
To whom it may concern, the water supplied through the tanker in Hazaribagh is not treated and looks dirty. We are worried about the health of our children because of this water.;Water Quality & Sanitation
